Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Rec_Receiving,Prog_Receiving,Mis_Dribbles,Dis_Dribbles,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_Medium,Att_Medium,Cmp_Long,Att_Long,Ast,xA,KP,Final_Third,PPA,CrsPA,Prog,xAG,A_minus_xAG,Gls_Standard,Sh_Standard,SoT_Standard,Sh_per_90_Standard,SoT_per_90_Standard,PK_Standard,PKatt_Standard,FK_Standard,xG_Expected,npxG_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs,Att_Vs,Past_Vs,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,Drib_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,Drib_GCA,Sh_GCA,Fld_GCA,Def_GCA,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xAG_Expected,npxG+xAG_Expected,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per
2023,Nice,Ligue 1,Aaron Ramsey,WAL,MF,31-303,1990.0,4.1,289.0,9.0,60.0,143.0,90.0,14.0,289.0,6.0,9.0,192.0,11.0,4.0,7.0,202.0,251.0,3394.0,767.0,93.0,106.0,75.0,88.0,22.0,42.0,0,0.4,4.0,11.0,1.0,1.0,14.0,0.1,-0.1,1,6.0,3.0,1.46,0.73,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,6.0,6.0,4.0,1.0,5.0,8.0,3.0,5.0,1.0,4.0,7.0,18.0,5.0,0.0,14.0,3.41,6.0,5.0,0.0,2.0,1.0,0.0,1.0,0.24,0.0,0.0,0.0,0.0,1.0,0.0,10,3,398,4.4,1,1.0,0.0,0.0,0,0,0.23,0.0,0.23,0.23,0.23,0.2,1.1,0.22,0.03,0.25,0.22,0.25
2023,Sampdoria,Serie A,Abdelhamid Sabiri,MAR,MF,25-331,1996.0,9.3,495.0,11.0,48.0,240.0,214.0,25.0,495.0,11.0,35.0,338.0,43.0,27.0,20.0,248.0,375.0,4500.0,1351.0,112.0,140.0,93.0,132.0,33.0,72.0,0,1.1,11.0,35.0,12.0,0.0,31.0,1.3,-1.3,1,24.0,7.0,2.57,0.75,0.0,0.0,6.0,1.0,1.0,0.0,0.0,14.0,5.0,5.0,5.0,4.0,3.0,11.0,8.0,15.0,2.0,13.0,2.0,16.0,3.0,0.0,29.0,3.1,15.0,5.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,10,840,9.3,1,1.0,0.0,0.0,3,0,0.11,0.0,0.11,0.11,0.11,1.3,2.3,0.11,0.13,0.25,0.11,0.25
2023,Osasuna,La Liga,Abdessamad Ezzalzouli,MAR,"MF,FW",20-312,2001.0,3.5,184.0,1.0,22.0,65.0,101.0,17.0,184.0,7.0,14.0,125.0,15.0,13.0,8.0,82.0,124.0,1060.0,243.0,56.0,74.0,20.0,29.0,2.0,6.0,2,1.5,3.0,3.0,6.0,1.0,7.0,0.7,1.3,0,10.0,3.0,2.88,0.86,0.0,0.0,1.0,0.6,0.6,-0.6,-0.6,11.0,9.0,5.0,5.0,1.0,5.0,5.0,0.0,7.0,0.0,7.0,2.0,13.0,2.0,0.0,12.0,3.45,7.0,1.0,2.0,2.0,0.0,0.0,2.0,0.58,2.0,0.0,0.0,0.0,0.0,0.0,8,4,313,3.5,0,0.0,0.0,0.0,1,0,0.0,0.58,0.58,0.0,0.58,0.7,1.4,0.18,0.21,0.39,0.18,0.39
2023,Sassuolo,Serie A,Abdou Harroui,NED,MF,24-285,1998.0,2.1,101.0,4.0,14.0,62.0,28.0,1.0,101.0,1.0,2.0,74.0,8.0,4.0,2.0,65.0,80.0,1082.0,254.0,27.0,31.0,36.0,38.0,2.0,7.0,0,0.1,1.0,8.0,2.0,1.0,3.0,0.0,0.0,1,4.0,1.0,1.87,0.47,0.0,0.0,0.0,0.3,0.3,0.7,0.7,4.0,0.0,3.0,1.0,0.0,1.0,6.0,5.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,0.94,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,197,2.2,1,1.0,0.0,0.0,1,0,0.46,0.0,0.46,0.46,0.46,0.0,0.3,0.15,0.01,0.16,0.15,0.16
2023,Nantes,Ligue 1,Abdoul Kader Bamba,FRA,MF,28-153,1994.0,0.8,51.0,0.0,7.0,22.0,22.0,2.0,51.0,0.0,1.0,39.0,11.0,1.0,4.0,33.0,41.0,448.0,130.0,16.0,20.0,13.0,15.0,0.0,1.0,0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0,1.0,1.0,1.2,1.2,0.0,0.0,0.0,0.1,0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,75,0.8,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.04,0.15,0.11,0.15
2023,Everton,Premier League,Abdoulaye Doucouré,MLI,MF,29-297,1993.0,1.6,74.0,1.0,20.0,39.0,16.0,5.0,74.0,1.0,1.0,40.0,1.0,0.0,1.0,53.0,64.0,724.0,183.0,28.0,34.0,20.0,24.0,1.0,2.0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0,1.29,0.64,0.0,0.0,0.0,0.1,0.1,-0.1,-0.1,5.0,4.0,1.0,4.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,5.0,2.0,0.0,3.0,1.96,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,140,1.6,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.08,0.08,0.08
2023,Paris S-G,Ligue 1,Achraf Hakimi,MAR,"MF,DF",23-355,1998.0,10.0,589.0,17.0,119.0,241.0,233.0,43.0,589.0,7.0,22.0,442.0,55.0,7.0,11.0,465.0,518.0,5881.0,1516.0,298.0,328.0,132.0,140.0,5.0,7.0,1,2.7,16.0,10.0,17.0,5.0,31.0,1.7,-0.7,2,7.0,3.0,0.7,0.3,0.0,0.0,0.0,1.6,1.6,0.4,0.4,24.0,13.0,10.0,8.0,6.0,16.0,28.0,12.0,13.0,1.0,12.0,3.0,27.0,5.0,0.0,31.0,3.11,25.0,1.0,1.0,1.0,0.0,3.0,3.0,0.3,2.0,0.0,0.0,0.0,0.0,1.0,12,10,896,10.0,2,2.0,0.0,0.0,2,0,0.2,0.1,0.3,0.2,0.3,1.7,3.2,0.16,0.17,0.33,0.16,0.33
2023,Southampton,Premier League,Adam Armstrong,ENG,"MF,FW",25-257,1997.0,8.7,287.0,5.0,41.0,115.0,137.0,28.0,287.0,6.0,25.0,171.0,31.0,13.0,12.0,145.0,197.0,2234.0,459.0,76.0,91.0,48.0,58.0,11.0,18.0,1,0.6,8.0,9.0,8.0,2.0,14.0,0.5,0.5,1,12.0,5.0,1.38,0.57,0.0,0.0,0.0,0.9,0.9,0.1,0.1,9.0,5.0,3.0,4.0,2.0,0.0,4.0,4.0,12.0,3.0,9.0,1.0,10.0,4.0,0.0,14.0,1.61,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,12,10,785,8.7,1,1.0,0.0,0.0,0,0,0.11,0.11,0.23,0.11,0.23,0.5,1.5,0.11,0.06,0.17,0.11,0.17
2023,Leeds United,Premier League,Adam Forshaw,ENG,MF,31-017,1991.0,0.6,27.0,0.0,4.0,19.0,6.0,0.0,27.0,1.0,1.0,15.0,0.0,0.0,0.0,18.0,22.0,270.0,118.0,13.0,13.0,2.0,2.0,2.0,6.0,0,0.2,1.0,2.0,0.0,0.0,1.0,0.4,-0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,50,0.6,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.79,0.79,0.0,0.79
2023,Leverkusen,Bundesliga,Adam Hložek,CZE,"MF,FW",20-092,2002.0,3.8,158.0,5.0,17.0,69.0,74.0,13.0,158.0,1.0,7.0,106.0,28.0,19.0,7.0,84.0,104.0,1204.0,354.0,59.0,66.0,15.0,18.0,7.0,14.0,1,0.6,9.0,9.0,2.0,0.0,10.0,0.9,0.1,0,7.0,4.0,1.82,1.04,0.0,0.0,0.0,0.7,0.7,-0.7,-0.7,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,4.0,1.0,5.0,3.0,0.0,18.0,4.7,11.0,3.0,0.0,2.0,1.0,1.0,2.0,0.52,1.0,0.0,0.0,1.0,0.0,0.0,10,5,410,4.6,0,0.0,0.0,0.0,0,0,0.0,0.22,0.22,0.0,0.22,0.9,1.5,0.14,0.19,0.34,0.14,0.34
